0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	1.00	
0.01	0.00	1.00	
0.02	0.00	0.99	
0.01	-0.00	1.00	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	0.01	1.00	
0.01	0.00	1.00	
0.01	0.01	0.99	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.01	0.99	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.00	0.01	0.99	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	-0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	-0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	1.00	
0.01	-0.00	0.99	
0.01	-0.00	0.99	
0.01	0.00	1.00	
0.01	0.01	0.99	
0.01	0.00	0.99	
0.01	0.01	0.99	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.02	0.02	0.99	
0.01	-0.00	1.00	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	-0.00	0.99	
0.01	0.00	1.00	
0.01	-0.01	0.99	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.05	0.17	0.99	
0.00	-0.03	0.99	
0.01	-0.03	0.99	
0.01	0.01	0.99	
0.00	-0.04	0.99	
0.01	-0.02	1.00	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.02	-0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	0.99	
0.01	0.00	1.00	
0.01	0.00	1.00	
0.01	0.00	1.00	
0.01	0.00	1.00	
0.01	0.00	0.99	
0.01	-0.00	0.99	
0.01	0.00	0.99	
